,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran
0,2018-12-09,3473.23,3685.31,3469.09,3614.23,4947372847.0,62942160928,0,1,0,0,0,0,0,0,1,1,0,0,0,231104.0,5646403851530.0,0.970701047244,5521458.33408,23.891660612
1,2018-12-08,3421.91,3506.04,3350.65,3476.11,5305024497.0,60531278392,0,1,0,0,0,0,0,1,0,1,0,0,0,253890.0,5646403851530.0,1.22229136842,4959282.00473,19.5331915583
2,2018-12-07,3512.59,3512.59,3280.23,3419.94,6835615448.0,59547645578,0,0,0,0,0,0,1,0,0,1,0,0,0,279654.0,5646403851530.0,1.09192977037,6422799.8146,22.9669513563
3,2018-12-06,3754.07,3874.97,3521.1,3521.1,5878333109.0,61303965508,0,0,0,0,0,1,0,0,0,1,0,0,0,256501.0,5646403851530.0,1.03676808462,6371334.8135,24.8394151036
4,2018-12-05,3958.89,3969.54,3753.99,3753.99,5302481574.0,65352496336,0,0,0,0,1,0,0,0,0,1,0,0,0,270189.0,5646403851530.0,1.08345961594,6958363.40458,25.753688731100002
5,2018-12-04,3886.29,4075.63,3832.75,3956.89,5028069239.0,68878292608,0,0,0,1,0,0,0,0,0,1,0,0,0,240652.0,6194015746030.0,1.10102824561,5777217.66638,24.006522556999997
6,2018-12-03,4147.32,4155.98,3840.45,3894.13,5089570994.0,67779050170,0,0,1,0,0,0,0,0,0,1,0,0,0,222673.0,6653303141400.0,1.0052717631599999,6035630.09374,27.105352214899998
7,2018-12-02,4200.73,4301.52,4110.98,4139.88,5262697895.0,72050487506,0,1,0,0,0,0,0,0,1,1,0,0,0,241847.0,6653303141400.0,1.06843840323,6509108.17643,26.914157200300004
8,2018-12-01,4024.46,4309.38,3969.71,4214.67,5375314093.0,73346194969,0,1,0,0,0,0,0,1,0,1,0,0,0,250157.0,6653303141400.0,1.20979136634,5352395.99184,21.396147186900002
9,2018-11-30,4289.09,4322.98,3942.82,4017.27,6048016717.0,69904637061,0,0,0,0,0,0,1,0,0,0,0,0,1,246226.0,6653303141400.0,1.2021301142899998,5788394.48956,23.508461695999998
10,2018-11-29,4269.0,4413.02,4145.77,4278.85,6503347767.0,74451016927,0,0,0,0,0,1,0,0,0,0,0,0,1,254456.0,6653303141400.0,1.11196844068,6211551.652980001,24.4111031101
11,2018-11-28,3822.47,4385.9,3822.47,4257.42,7280280000.0,74072560088,0,0,0,0,1,0,0,0,0,0,0,0,1,268533.0,6653303141400.0,1.07125403817,6283605.98769,23.3997534295
12,2018-11-27,3765.95,3862.96,3661.01,3820.72,5998720000.0,66468970322,0,0,0,1,0,0,0,0,0,0,0,0,1,257062.0,6653303141400.0,1.18616418919,5589818.89319,21.745022186
13,2018-11-26,4015.07,4107.14,3643.92,3779.13,6476900000.0,65739289046,0,0,1,0,0,0,0,0,0,0,0,0,1,239256.0,6653303141400.0,1.0105540472399999,6192219.6896,25.8811469288
14,2018-11-25,3880.78,4120.87,3585.06,4009.97,6825640000.0,69749265801,0,1,0,0,0,0,0,0,1,0,0,0,1,250017.0,6653303141400.0,0.980274237762,7809122.34535,31.2343654445
15,2018-11-24,4347.69,4413.09,3795.16,3880.76,4679500000.0,67495633205,0,1,0,0,0,0,0,1,0,0,0,0,1,275261.0,6653303141400.0,1.131096584,6892717.83461,25.040662624299998
16,2018-11-23,4360.7,4396.42,4195.68,4347.11,4871490000.0,75598851166,0,0,0,0,0,0,1,0,0,0,0,0,1,266116.0,6653303141400.0,1.2184553114799999,7114929.81887,26.7361970677
17,2018-11-22,4611.57,4629.64,4365.64,4365.94,4569370000.0,75919439809,1,0,0,0,0,1,0,0,0,0,0,0,1,254942.0,6653303141400.0,1.21354621905,6176914.17717,24.2287036941
18,2018-11-21,4465.54,4675.73,4343.98,4602.17,6120120000.0,80020171047,0,0,0,0,1,0,0,0,0,0,0,0,1,288450.0,6653303141400.0,1.2037403030299998,8032834.08028,27.848272075900002
19,2018-11-20,4863.93,4951.61,4272.11,4451.87,8428290000.0,77401044320,0,0,0,1,0,0,0,0,0,0,0,0,1,267971.0,6653303141400.0,1.10071195238,8565705.29353,31.9650458204
20,2018-11-19,5620.78,5620.78,4842.91,4871.49,7039560000.0,84688539692,0,0,1,0,0,0,0,0,0,0,0,0,1,239803.0,6653303141400.0,0.9542746991869999,8720411.74296,36.3648984498
21,2018-11-18,5559.74,5653.61,5559.74,5623.54,4159680000.0,97753714643,0,1,0,0,0,0,0,0,1,0,0,0,1,262649.0,6653303141400.0,0.9142488689659999,10194101.7112,38.8126423905
22,2018-11-17,5578.58,5578.58,5519.56,5554.33,4303150000.0,96542098114,0,1,0,0,0,0,0,1,0,0,0,0,1,283124.0,7175974755380.0,1.1581735952399999,9020655.432330001,31.861147173400003
23,2018-11-16,5645.32,5657.02,5498.94,5575.55,5279320000.0,96900828780,0,0,0,0,0,0,1,0,0,0,0,0,1,291525.0,7184404942700.0,1.1936450708700002,9131131.58594,31.3219503849
24,2018-11-15,5736.15,5774.82,5358.38,5648.03,7032140000.0,98151606541,0,0,0,0,0,1,0,0,0,0,0,0,1,292755.0,7184404942700.0,1.09477666667,10581750.7055,36.1454141021
25,2018-11-14,6351.24,6371.55,5544.09,5738.35,7398940000.0,99712077259,0,0,0,0,1,0,0,0,0,0,0,0,1,279160.0,7184404942700.0,1.1100032666700002,9673254.19354,34.6512902763
26,2018-11-13,6373.19,6395.27,6342.67,6359.49,4503800000.0,110494466204,0,0,0,1,0,0,0,0,0,0,0,0,1,300006.0,7184404942700.0,1.0668775714299998,11326127.0809,37.753001876199995
