trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,4,-82.7960153192473,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-29.860056275601824,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,3,-59.64409676571801,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-53.50454381907467,"{0: 19, 1: 7, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,19,-3.1075397017379034,"{0: 7, 1: 4, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-86.39143496568434,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-179.98089834757997,"{0: 17, 1: 2, 2: 5, 3: 5, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,9,-7.46766290447402,"{0: 11, 1: 5, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-64.69889521990305,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-6.581809151626666,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,15,2.1346164036501087,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,15,11.621819586300868,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-45.73185742738766,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-40.34893889722627,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,15.057268712659791,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,17.04828152133989,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-41.394085830486304,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-16.564351694837168,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,8.774057944687586,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,37.52489296041355,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,9,19.440805839929507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,13,11.208345342873002,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,11,16.786042121775406,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,11,16.122166289454988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,15,16.306446161716515,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,10,23.29280722733804,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,1,35.442593593730074,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,17,28.82402250101996,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,11.84890799015825,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,12,-11.202692781185904,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
