trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,2,-38.59326953333634,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.9851119396030626}",25,0,-147.99372559845858,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9704455335485082}",25,7,-64.77520842238356,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.9559974818331}",20,4,-90.45302557316532,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.9417645335842487}",20,0,-108.82591917897842,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9277434863285529}",20,0,-123.33430529160587,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9139311852712282}",30,0,-183.55140810612204,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.9003245225862656}",35,0,-124.14913918186923,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.8869204367171575}",20,0,-33.99261870268191,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.8737159116880344}",25,0,-111.79051458927243,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.8607079764250578}",20,5,-89.4976364021013,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.8478937040879159}",20,0,-69.62505640380076,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.835270211411272}",20,0,-108.90547597646102,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.8228346580560184}",20,0,-35.47293139304101,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8105842459701871}",25,0,-50.91038701809015,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.7985162187593771}",20,0,-85.73631084300165,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.7866278610665535}",20,10,-53.5273615710178,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.774916497961081}",20,0,-1.164703387712546,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.7633794943368531}",25,0,-98.74695415189585,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.7520142543193826}",25,0,-135.74044834638664,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.7408182206817179}",25,0,-61.73147466754945,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.7297888742690568}",25,0,-104.18339553201758,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.8, 'e': 0.7189237334319262}",20,0,-70.29307605284373,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7082203534678}",20,0,-71.93237515249885,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.697676326071031}",35,2,-97.93084650500245,"{0: 24, 1: 4, 2: 3, 3: 0, 4: 2}",1
26,False,"{'a': 0.8, 'e': 0.6872892787909722}",30,0,-131.58456029364893,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
27,False,"{'a': 0.8, 'e': 0.6770568744981647}",20,0,-31.485416639552344,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.6669768108584744}",20,0,-48.82694059069644,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.6570468198150567}",30,0,-73.07083591528641,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.6472646670780347}",25,0,-148.35783349166476,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
31,False,"{'a': 0.8, 'e': 0.6376281516217733}",30,16,-62.655422611180384,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
32,False,"{'a': 0.8, 'e': 0.6281351051896409}",30,0,-141.21309260379388,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.6187833918061408}",20,0,-107.98085912177139,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.8, 'e': 0.6095709072963093}",25,0,-1.422614230504478,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.6004955788122659}",20,16,9.862223343413733,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.5915553643668151}",30,2,-100.02547637579485,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 2}",1
37,False,"{'a': 0.8, 'e': 0.5827482523739896}",20,0,-32.760919168459345,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.5740722611964361}",20,0,-18.481342403482852,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.5655254386995371}",30,13,-20.387619537847677,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.5571058618121739}",25,4,-3.332692635436821,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.5488116360940265}",20,8,-34.453444384939516,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.5406408953093166}",25,0,-138.26514338742953,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.8, 'e': 0.5325918010068972}",20,8,-39.749794862518584,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.5246625421065929}",30,0,-43.666333299279984,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.5168513344916993}",20,0,-53.47132316249401,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.5091564206075492}",35,15,-47.92655272042284,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.5015760690660556}",20,6,-90.97400265989474,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
48,False,"{'a': 0.8, 'e': 0.4941085742561417}",25,0,-46.93772774937831,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.4867522559599717}",25,0,1.2547578129022057,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.4795054589748941}",25,0,-80.52367086132602,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
