trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.7790002541071,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.5248220461665,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.72545436320794,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.01389816660392,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.056719300118566,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,13,-86.02251790580551,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.69901815461546,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.87204834404247,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.4671426973219,"{0: 7, 1: 6, 2: 10, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.909907209506,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.31075559429028,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.57611377414196,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.54433080063309,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.57638934297313,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.42463186895782,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.17584918644624,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.39197504637713,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.78277614511974,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.16730195246281,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.78647276756337,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.02008572566706,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,5,-32.8363086205448,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.28901187751352,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.1562468515187,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.2587607883738,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,6,-71.28265011068996,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.18761573900176,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.72050479855405,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.60846920548457,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.74190196131596,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
